45	-51	-82	27	-23	-16
24	12	74	-61	-41	-25
-80	-7	2	27	-26	-2
99	-53	35	-50	13	28
33	-18	71	51	75	-48
15	4	-95	71	85	17
72	-69	-25	-96	82	15
61	84	-1	78	-41	82
-67	32	26	-82	-57	-93
-34	49	-17	-25	-4	13
-95	11	-82	4	21	20
16	20	-43	56	-83	65
-63	-60	86	51	29	44
75	-53	70	-53	-51	21
-54	-64	51	-35	57	-14
1	34	-47	-16	-28	99
-42	-81	63	-55	34	28
28	93	55	-78	-89	10
-91	96	47	56	-61	84
13	-44	38	-36	-96	-34
96	-6	16	43	64	-50
-81	38	-20	17	-87	-58
15	-55	79	47	39	100
90	2	-22	-46	67	81
-86	28	68	-70	-65	-68
-29	51	-100	18	26	-89
-18	78	-21	-36	12	-5
51	-45	50	-23	-27	0
60	-14	28	1	74	-98
-29	69	-91	-12	14	-3
-4	62	-49	-92	-69	71
85	-81	60	-4	52	-5
58	-27	-55	58	-3	-89
-85	26	-84	-16	-60	5
32	-13	-52	81	-76	23
-19	97	-87	-73	79	-58
-33	-32	-88	23	11	-4
91	63	50	52	67	56
-20	-70	100	82	-74	27
23	-7	9	-39	-91	6
-77	-4	83	80	-84	-32
2	-45	-51	16	-83	-25
75	33	74	42	-84	-95
63	9	-60	87	-64	-67
70	45	93	-83	24	21
8	-53	94	-17	35	-13
-84	-49	83	-32	98	0
-62	-64	53	30	46	5
-75	-56	29	64	68	-36
5	81	55	-30	25	11
-93	55	-79	33	-38	-79
-55	28	-72	9	-55	62
25	35	-26	74	-88	27
-89	-2	31	48	-26	-48
-24	-85	-16	-10	-96	53
72	50	86	-40	-45	57
-51	-54	50	14	-48	-11
100	-35	31	98	16	-33
40	-68	-34	-19	-4	-97
-5	70	51	-8	71	-95
-71	-67	77	-45	84	-55
13	57	81	52	-45	-54
-16	-59	-71	69	-51	-98
-81	-17	91	60	30	-12
-30	-16	-14	-87	-61	62
30	51	7	19	10	57
50	90	-80	17	19	78
-5	25	21	23	86	-3
9	-76	-5	43	-88	-74
68	-72	-52	100	49	-59
-93	51	34	-71	-73	16
-61	49	17	-100	-25	-85
71	7	4	-92	46	-43
-10	82	51	95	-66	65
-53	73	-1	-48	96	-79
64	-12	-41	-65	22	-18
72	37	-33	-24	95	-90
8	-85	-63	-35	-80	39
64	5	24	-42	-68	42
-8	-22	93	-68	-10	80
-37	-9	95	-85	-73	48
95	55	92	-76	-47	17
97	71	14	62	-12	94
-21	-50	81	-31	-60	0
-60	-22	1	-86	-2	3
-48	-70	63	-4	-16	58
-14	7	-70	-39	21	40
20	80	-54	5	70	-2
99	-23	48	-33	90	83
-25	53	59	15	26	-3
4	68	31	39	62	-15
78	90	-73	-78	25	99
17	100	9	29	-96	-78
-32	100	-72	29	93	-95
-47	73	56	56	-21	-88
92	87	64	8	51	-14
-18	19	33	-34	-63	-36
9	32	44	-61	13	-66
-17	-27	84	52	-58	-87
4	67	54	100	-52	82
57	28	-64	-59	-8	92
-13	83	68	-40	-90	35
88	44	48	64	-22	4
35	-73	65	-19	80	-57
92	17	51	-79	80	-30
-33	-83	39	-50	63	-72
-9	-60	68	91	-5	-89
-32	70	63	-78	15	-86
2	-5	94	-17	-88	-11
-4	42	9	-92	-51	33
-69	-39	23	-32	42	-36
36	-57	-76	-100	-69	-15
72	-99	59	-20	40	-90
-64	3	-65	13	-4	-23
-60	-50	52	49	-31	-26
-19	-64	19	75	-33	65
-87	100	-83	74	-64	-11
-58	85	31	-39	-97	-78
-63	-43	-11	-23	92	-4
-76	-39	-42	89	-42	-47
18	43	-52	-26	-24	-72
-92	58	-7	-11	58	34
48	2	-73	-32	-44	88
-13	29	-6	-73	-18	16
77	52	39	-79	-93	62
39	72	52	71	-48	-62
-9	43	-36	7	41	-26
27	-85	-18	81	-83	93
-71	-56	-19	44	-90	-98
29	-24	-70	39	-19	6
40	-2	-37	-55	-38	84
57	50	52	-11	12	-76
59	75	-94	7	-1	-72
45	6	-45	33	47	91
51	22	9	13	75	18
25	-21	-83	77	-92	-31
-48	-45	2	91	-52	7
30	-100	-1	61	-61	75
68	-3	-57	61	77	9
15	49	99	-54	99	62
98	-9	91	-2	-62	-19
67	40	-52	18	-64	-93
-83	-7	-82	-28	88	35
-14	83	-41	53	-17	-34
39	29	17	37	-89	46
-21	34	-74	-45	-76	-18
52	7	-34	-95	-23	3
57	63	56	35	88	-50
-40	-15	53	-75	91	100
-44	55	-53	26	-90	-59
-94	91	-25	-54	-32	15
-17	54	-99	-8	95	-3
19	85	89	-97	26	-73
35	-92	-43	-88	29	-3
69	-16	-9	-66	5	-69
70	-14	6	63	-18	6
14	-47	21	-7	-43	49
-66	11	4	55	-46	-65
-84	-20	-32	83	-62	-64
-62	-51	-34	-4	-19	28
0	-29	-85	74	-58	0
29	-13	61	40	-8	-76
11	-44	57	1	-81	-69
10	23	80	-80	-82	-37
57	1	49	33	49	51
-2	-4	9	-73	10	33
0	43	71	85	-99	77
54	-99	-31	57	-31	-97
-37	-89	17	-12	-36	-65
20	51	-91	5	45	93
-63	79	42	52	97	88
-100	-74	96	-26	2	13
99	60	-80	98	30	49
-72	70	8	-96	-44	-40
71	-61	-85	-8	-41	5
1	79	-80	83	-95	-72
-40	-76	50	-29	66	50
-71	86	66	26	-21	53
-5	-20	-77	-72	37	-97
85	45	-78	82	-22	-13
71	44	-99	-76	-53	-41
-26	60	-32	7	-88	-32
-56	10	-62	11	-29	70
-63	38	-57	97	-85	43
-60	8	-36	-34	-67	-51
86	-63	65	98	67	11
61	58	62	89	-52	-66
50	-49	51	-97	51	-72
-31	29	-24	37	20	-72
-62	-68	-72	-19	81	98
-33	12	80	67	-25	17
92	27	-16	-57	-77	59
62	49	30	75	82	-23
2	16	82	-93	-21	71
5	45	91	-55	-100	-72
-67	43	-60	-22	56	-72
69	-69	15	95	-74	81
59	-25	70	29	-49	-92
-33	45	31	75	-22	-73
-86	91	11	-45	-61	-12
32	94	-37	-89	30	46
62	29	-84	34	-33	60
13	-63	-47	-60	-8	-98
50	-81	73	21	4	40
66	62	55	91	63	24
77	61	-33	-41	-84	-2
17	27	10	-23	50	-85
-6	-34	43	-80	25	-19
11	-58	31	-90	-28	-61
29	-69	77	-16	-4	-82
3	98	15	-94	39	6
87	-43	56	27	-56	3
-68	-57	-69	-58	-55	-9
-69	78	85	12	28	-78
-64	-97	-76	-65	76	-99
-53	-23	-21	-28	-72	-39
-9	85	2	-62	-98	-52
-24	-56	39	-22	45	93
-85	6	-88	-98	5	27
-66	-56	-21	3	-37	-67
67	-22	71	-31	-68	76
81	-44	65	37	-79	-16
14	-59	-56	10	18	31
82	-4	6	-14	81	65
66	40	-94	100	9	51
-24	97	80	2	21	46
56	48	14	15	-86	-94
76	3	-98	-61	-37	-25
-4	40	96	-75	69	-61
34	83	31	-55	40	29
59	30	32	-36	-79	60
59	67	100	-71	53	12
-51	-26	-50	51	-22	90
5	52	-33	-37	-22	-22
69	82	-93	-25	-88	-7
-55	-16	98	-22	-80	-89
-48	-37	92	-54	66	73
-44	66	63	74	-52	7
-41	-25	5	25	-6	33
-48	47	98	56	-21	72
50	78	-23	-67	80	-40
-16	-80	3	-53	71	83
-99	19	-16	-68	-35	47
-73	-56	14	-15	74	-69
-94	73	91	52	46	-8
