34	77	41	86	78	61	57
1	39	72	77	10	89	33
34	6	50	37	48	79	100
16	61	53	28	14	83	1
15	14	10	43	21	46	40
49	8	25	52	78	54	43
49	18	51	92	45	20	60
78	75	54	23	0	79	51
45	63	5	70	8	14	42
29	16	83	90	75	28	83
12	65	17	68	74	71	66
63	71	71	40	10	85	32
42	97	21	32	69	63	12
23	52	16	24	72	37	76
39	1	83	64	95	44	70
52	47	58	34	87	79	82
92	49	44	48	100	91	23
3	4	51	44	23	71	84
87	93	61	31	14	91	72
49	15	61	14	50	30	40
20	43	97	30	85	12	69
42	16	47	51	49	47	49
7	69	61	32	47	77	55
92	54	90	75	81	65	23
72	91	49	95	21	85	76
64	25	18	33	46	17	71
82	58	45	7	68	31	82
90	21	7	98	29	65	96
4	39	97	18	65	56	24
59	1	38	35	69	76	81
61	78	62	77	97	30	47
100	85	65	25	73	95	71
78	3	86	58	24	99	60
3	65	2	36	85	26	63
7	30	44	62	72	21	63
75	54	15	61	50	85	58
13	8	42	34	85	78	59
95	77	96	20	85	51	57
100	6	7	62	34	11	75
4	94	27	19	74	69	9
88	66	58	31	33	7	15
88	15	55	23	72	21	49
29	73	59	29	31	84	41
91	42	68	52	100	99	0
97	89	75	32	10	13	45
0	31	61	99	9	10	5
69	66	9	68	67	82	47
38	89	43	37	64	36	49
14	12	33	84	39	43	81
68	28	92	10	21	71	22
8	52	13	53	8	22	56
46	69	18	3	12	78	57
51	14	88	44	24	55	98
8	85	79	97	57	96	97
91	63	37	94	74	64	73
76	75	10	57	89	5	56
74	97	19	88	48	64	53
94	49	28	27	86	97	51
65	22	4	39	73	57	44
41	39	41	44	99	64	3
11	37	96	65	92	42	86
18	60	72	41	17	69	95
63	25	6	68	25	11	100
45	61	77	59	84	50	5
6	51	66	73	45	21	75
11	43	76	75	57	89	47
97	10	98	73	0	30	30
30	59	67	75	39	80	77
1	78	30	40	72	33	38
5	62	30	89	81	18	79
79	63	33	61	46	78	27
99	51	4	11	4	64	93
51	77	92	69	90	43	12
54	77	21	96	9	82	58
52	10	78	12	81	6	19
5	1	66	12	40	43	3
63	33	62	82	11	29	3
79	34	31	68	87	40	84
16	49	63	88	38	68	39
83	23	27	30	59	38	22
8	65	66	71	54	20	54
39	86	57	57	76	76	100
52	53	35	93	47	56	45
84	83	31	20	15	69	4
55	7	44	11	87	69	96
2	1	5	21	97	97	75
69	13	60	8	77	49	56
25	84	9	23	23	9	24
76	50	54	5	0	70	16
2	36	14	43	53	50	72
21	0	97	16	26	38	8
39	70	29	76	33	83	85
100	73	97	81	47	76	28
83	31	70	23	50	78	76
22	57	83	81	74	22	51
99	77	42	76	82	24	65
94	44	88	40	63	66	63
75	99	14	67	90	61	1
3	10	96	5	34	80	82
34	63	73	10	10	71	6
82	93	41	9	68	84	61
23	30	83	37	78	11	4
71	22	31	9	94	0	90
74	54	84	39	92	55	3
33	62	30	82	93	90	73
100	49	63	97	14	38	39
2	85	1	55	56	1	90
42	62	67	57	65	29	16
38	37	5	92	73	74	41
94	58	54	80	63	88	92
36	48	11	9	100	59	79
93	85	94	12	89	48	84
2	65	19	54	2	86	57
37	55	22	59	96	95	13
91	42	76	57	77	22	62
26	87	48	51	58	40	53
63	6	0	14	43	15	64
24	15	4	89	89	30	76
51	61	43	39	52	27	88
97	43	94	99	15	96	5
46	74	62	50	95	21	47
90	69	4	62	68	82	13
3	29	27	20	79	38	8
8	2	53	55	13	83	11
81	3	64	13	46	54	85
44	2	59	39	85	88	70
93	57	36	90	75	12	37
12	15	3	43	11	39	69
84	61	52	6	35	93	97
83	54	43	26	91	95	31
77	20	86	62	8	34	83
84	82	21	79	21	51	30
34	25	62	88	15	77	49
81	94	70	10	34	82	22
99	78	87	44	91	94	10
98	78	25	90	90	39	5
63	38	50	10	29	27	25
21	96	84	32	58	27	17
86	29	97	91	100	44	63
68	34	26	33	68	5	82
38	86	20	70	30	31	73
37	10	10	21	71	79	24
63	41	92	31	82	29	38
29	40	0	46	89	62	58
10	78	99	30	45	9	40
4	38	41	30	2	8	18
