-25	0
-24	-1
-24	0
-23	-4
-23	-1
-23	0
-23	4
-22	-5
-22	-4
-22	-3
-22	-1
-22	0
-22	3
-22	4
-22	5
-21	-4
-21	-3
-21	-2
-21	-1
-21	0
-21	2
-21	3
-21	4
-20	-3
-20	-2
-20	-1
-20	0
-20	1
-20	2
-20	3
-19	-13
-19	-12
-19	-2
-19	-1
-19	0
-19	1
-19	2
-19	12
-19	13
-18	-13
-18	-12
-18	-1
-18	0
-18	1
-18	12
-18	13
-17	-17
-17	-16
-17	-13
-17	-12
-17	-4
-17	-1
-17	0
-17	4
-17	12
-17	13
-17	16
-17	17
-16	-17
-16	-16
-16	-15
-16	-13
-16	-12
-16	-5
-16	-4
-16	-3
-16	-1
-16	0
-16	3
-16	4
-16	5
-16	12
-16	13
-16	15
-16	16
-16	17
-15	-16
-15	-15
-15	-14
-15	-13
-15	-12
-15	-9
-15	-8
-15	-4
-15	-3
-15	-2
-15	-1
-15	0
-15	2
-15	3
-15	4
-15	8
-15	9
-15	12
-15	13
-15	14
-15	15
-15	16
-14	-15
-14	-14
-14	-13
-14	-12
-14	-9
-14	-8
-14	-3
-14	-2
-14	-1
-14	0
-14	1
-14	2
-14	3
-14	8
-14	9
-14	12
-14	13
-14	14
-14	15
-13	-19
-13	-18
-13	-17
-13	-16
-13	-15
-13	-14
-13	-13
-13	-12
-13	-9
-13	-8
-13	-2
-13	-1
-13	0
-13	1
-13	2
-13	8
-13	9
-13	12
-13	13
-13	14
-13	15
-13	16
-13	17
-13	18
-13	19
-12	-19
-12	-18
-12	-17
-12	-16
-12	-15
-12	-14
-12	-13
-12	-12
-12	-11
-12	-9
-12	-8
-12	-1
-12	0
-12	1
-12	8
-12	9
-12	11
-12	12
-12	13
-12	14
-12	15
-12	16
-12	17
-12	18
-12	19
-11	-12
-11	-11
-11	-10
-11	-9
-11	-8
-11	-4
-11	-1
-11	0
-11	4
-11	8
-11	9
-11	10
-11	11
-11	12
-10	-11
-10	-10
-10	-9
-10	-8
-10	-5
-10	-4
-10	-3
-10	-1
-10	0
-10	3
-10	4
-10	5
-10	8
-10	9
-10	10
-10	11
-9	-15
-9	-14
-9	-13
-9	-12
-9	-11
-9	-10
-9	-9
-9	-8
-9	-5
-9	-4
-9	-3
-9	-2
-9	-1
-9	0
-9	2
-9	3
-9	4
-9	5
-9	8
-9	9
-9	10
-9	11
-9	12
-9	13
-9	14
-9	15
-8	-15
-8	-14
-8	-13
-8	-12
-8	-11
-8	-10
-8	-9
-8	-8
-8	-7
-8	-5
-8	-4
-8	-3
-8	-2
-8	-1
-8	0
-8	1
-8	2
-8	3
-8	4
-8	5
-8	7
-8	8
-8	9
-8	10
-8	11
-8	12
-8	13
-8	14
-8	15
-7	-8
-7	-7
-7	-6
-7	-5
-7	-4
-7	-2
-7	-1
-7	0
-7	1
-7	2
-7	4
-7	5
-7	6
-7	7
-7	8
-6	-7
-6	-6
-6	-5
-6	-4
-6	-1
-6	0
-6	1
-6	4
-6	5
-6	6
-6	7
-5	-22
-5	-16
-5	-10
-5	-9
-5	-8
-5	-7
-5	-6
-5	-5
-5	-4
-5	-1
-5	0
-5	4
-5	5
-5	6
-5	7
-5	8
-5	9
-5	10
-5	16
-5	22
-4	-23
-4	-22
-4	-21
-4	-17
-4	-16
-4	-15
-4	-11
