95	54	83	37	56	33	90
188	133	114	85	65	47	20
61	19	56	36	65	60	33
68	19	81	51	39	64	82
134	71	35	48	56	85	61
111	57	76	30	77	64	37
88	19	82	53	83	54	65
94	35	55	85	54	41	67
112	86	77	78	50	31	42
228	166	138	120	92	71	50
69	40	54	39	88	89	75
81	61	85	38	64	73	23
118	48	67	26	86	46	64
64	27	89	33	63	25	72
45	21	69	25	77	20	83
91	37	82	50	26	68	51
124	67	22	89	77	61	32
129	67	78	44	46	56	73
103	73	87	89	46	34	28
60	23	21	67	42	70	41
140	83	27	26	43	42	51
120	53	32	89	20	26	75
104	53	75	60	18	18	70
89	47	88	33	79	87	62
125	82	42	82	33	23	49
125	89	19	69	29	43	26
80	32	65	32	82	56	22
96	31	33	55	58	84	24
73	20	82	63	51	24	58
113	89	47	70	37	83	22
62	29	85	65	86	80	24
50	29	53	41	70	52	82
200	157	133	104	81	62	40
228	208	184	155	133	103	76
69	46	36	56	19	49	46
107	59	72	70	64	32	69
126	70	62	73	32	79	62
140	72	32	33	54	58	80
53	20	90	81	67	50	73
148	84	25	48	73	48	35
125	86	80	73	25	71	47
84	42	34	64	70	29	32
84	35	72	59	58	82	62
83	30	25	77	29	35	73
115	46	57	86	58	89	30
153	89	47	59	45	41	34
250	182	158	131	108	80	58
181	160	138	119	90	63	36
68	25	34	55	42	48	77
65	38	40	37	55	27	23
106	37	36	90	23	18	57
100	74	39	21	18	76	33
84	64	60	76	86	80	27
80	49	31	42	57	31	24
238	180	156	134	115	88	65
42	23	18	70	64	88	46
59	41	39	90	83	73	23
90	68	63	85	19	47	55
138	86	44	48	39	71	51
146	78	45	19	50	39	67
218	182	152	125	101	81	60
185	162	136	109	87	66	47
100	57	46	42	26	67	76
85	29	35	77	63	23	25
141	83	62	38	35	42	76
73	21	39	79	25	34	37
92	72	57	80	59	50	20
64	45	83	38	67	72	70
101	64	33	64	30	63	26
119	53	38	77	21	57	80
116	61	24	87	88	87	62
79	37	81	80	43	19	75
93	56	38	34	73	47	73
150	81	56	54	62	78	70
72	50	42	53	41	53	81
110	52	19	74	89	25	32
83	30	21	63	82	49	52
